state,visited
Alabama,11
Alaska,7
Arizona,35
Arkansas,21
California,135
Colorado,36
Connecticut,4
Delaware,2
District of Columbia,1
Florida,64
Georgia,37
Hawaii,7
Idaho,7
Illinois,13
Indiana,16
Iowa,5
Kansas,9
Kentucky,15
Louisiana,20
Maine,3
Maryland,19
Massachusetts,5
Michigan,13
Minnesota,11
Mississippi,18
Missouri,28
Montana,6
Nebraska,6
Nevada,11
New Hampshire,2
New Jersey,12
New Mexico,18
New York,23
North Carolina,34
Ohio,24
Oklahoma,34
Oregon,18
Pennsylvania,14
South Carolina,18
South Dakota,3
Tennessee,33
Texas,108
Utah,12
Vermont,3
Virginia,10
Washington,36
West Virginia,13
Wisconsin,18
Wyoming,1
