state,visited

Alabama,17
Alaska,4
Arizona,42
Arkansas,5
California,190
Colorado,29
Connecticut,2
Delaware,3
District of Columbia,4
Florida,61
Georgia,29
Hawaii,2
Idaho,7
Illinois,21
Indiana,19
Iowa,5
Kansas,9
Kentucky,16
Louisiana,27
Maine,2
Maryland,15
Massachusetts,9
Michigan,16
Minnesota,12
Mississippi,8
Missouri,21
Montana,4
Nebraska,8
Nevada,19
New Hampshire,3
New Jersey,15
New Mexico,20
New York,19
North Carolina,23
North Dakota,1
Ohio,29
Oklahoma,32
Oregon,15
Pennsylvania,18
South Carolina,19
South Dakota,3
Tennessee,20
Texas,100
Utah,10
Vermont,1
Virginia,17
Washington,16
West Virginia,10
Wisconsin,11
Wyoming,6
